,DISTRICT,SERVICE,SERVICEX,CTE_STUDENTS_2015,CTE_HOURS_2015,CTE_AVG_2015,ALL_STUDENTS_2015,ALL_HOURS_2015,ALL_AVG_2015,CTE_STUDENTS_2016,CTE_HOURS_2016,CTE_AVG_2016,ALL_STUDENTS_2016,ALL_HOURS_2016,ALL_AVG_2016,CTE_STUDENTS_2017,CTE_HOURS_2017,CTE_AVG_2017,ALL_STUDENTS_2017,ALL_HOURS_2017,ALL_AVG_2017,CTE_STUDENTS_2018,CTE_HOURS_2018,CTE_AVG_2018,ALL_STUDENTS_2018,ALL_HOURS_2018,ALL_AVG_2018
359,14908,3220300,ENGLISH III (ENG 3),16,90,5.6,21,120,5.7,17,102,6.0,25,150,6.0,12,72,6.0,27,159,5.9,20,117,5.9,32,186,5.8
360,14908,3330100,UNITED STATES GOVERNMENT (GOVT,3,3,3.0,3,3,3.0,16,48,3.0,18,54,3.0,20,60,3.0,21,63,3.0,20,60,3.0,25,75,3.0
361,14908,3340100,US HISTORY STUDIES SINCE 1877,16,48,3.0,21,63,3.0,17,60,3.5,25,87,3.5,9,27,3.0,23,69,3.0,14,42,3.0,21,63,3.0
362,14908,3380001,SOCIAL STUDIES ADV (1ST TIME),14,42,3.0,19,57,3.0,,,,,,,,,,,,,,,,,,
363,14908,13037200,SCIENTIFIC RESEARCH & DESIGN,8,8,8.0,8,8,8.0,,,,,,,6,24,4.0,10,40,4.0,8,32,4.0,8,32,4.0
364,14908,13037210,SCIENTIFIC RESEARCH & DESGN II,8,8,8.0,8,8,8.0,6,24,4.0,8,32,4.0,8,8,8.0,3,12,4.0,9,36,4.0,9,36,4.0
365,14909,3010200,BIOLOGY (BIO),8,32,4.0,16,64,4.0,8,32,4.0,11,44,4.0,16,64,4.0,14,112,8.0,14,112,8.0,14,112,8.0
366,14909,3040000,CHEMISTRY (CHEM),4,16,4.0,12,48,4.0,,,,,,,9,36,4.0,9,36,4.0,15,45,3.0,10,57,5.7
367,14909,3101100,PRECALCULUS (PRE CALC),4,16,4.0,8,32,4.0,4,16,4.0,5,20,4.0,6,24,4.0,9,36,4.0,,,,,,
368,14909,3102500,INDEP STUDY IN MATH (1ST TIME),3,12,4.0,6,24,4.0,5,15,3.0,6,24,4.0,6,24,4.0,14,42,3.0,14,42,3.0,15,45,3.0
369,14909,3220300,ENGLISH III (ENG 3),11,42,3.8,15,63,4.2,17,90,5.3,22,117,5.3,30,171,5.7,36,207,5.8,29,165,5.7,35,201,5.7
370,14909,3220400,ENGLISH IV (ENG 4),14,72,5.1,17,87,5.1,13,72,5.5,15,84,5.6,10,60,6.0,12,72,6.0,28,162,5.8,31,180,5.8
371,14909,3340100,US HISTORY STUDIES SINCE 1877,3,3,3.0,3,3,3.0,21,111,5.3,25,135,5.4,36,216,6.0,42,252,6.0,29,165,5.7,34,195,5.7
372,14909,13020600,ANATOMY & PHYSIOLOGY,3,3,3.0,3,3,3.0,3,12,4.0,3,12,4.0,4,4,4.0,4,4,4.0,3,3,3.0,3,3,3.0
373,14910,3152900,MUSIC I HISTORY (MUS1HIST),14,42,3.0,14,42,3.0,,,,,,,,,,,,,,,,,,
374,14910,3220400,ENGLISH IV (ENG 4),18,57,3.2,19,60,3.2,33,156,4.7,39,180,4.6,17,69,4.1,24,105,4.4,17,72,4.2,20,90,4.5
375,14910,3340100,US HISTORY STUDIES SINCE 1877,23,69,3.0,29,87,3.0,29,171,5.9,36,207,5.8,,,,,,,6,18,3.0,6,18,3.0
376,15801,3220400,ENGLISH IV (ENG 4),6,24,4.0,10,30,3.0,,,,,,,3,3,3.0,5,15,3.0,,,,,,
377,15801,3310300,ECONOMICS W/EMPH FREE ENTERPR,3,3,3.0,3,3,3.0,,,,,,,,,,,,,,,,,,
378,15801,3330100,UNITED STATES GOVERNMENT (GOVT,5,15,3.0,6,18,3.0,,,,,,,3,3,3.0,3,12,4.0,,,,,,
379,15801,13029200,"PRINC LAW, PUB SAFE,CORRT &SEC",3,3,3.0,3,3,3.0,,,,,,,,,,,,,,,,,,
380,15801,13032300,WELDING,5,10,2.0,5,10,2.0,,,,,,,6,6,6.0,3,12,4.0,,,,,,
381,15806,3102500,INDEP STUDY IN MATH (1ST TIME),3,3,3.0,3,3,3.0,,,,,,,,,,,,,,,,,,
382,15806,3152900,MUSIC I HISTORY (MUS1HIST),3,12,4.0,3,12,4.0,,,,,,,,,,,,,,,,,,
383,15806,3220300,ENGLISH III (ENG 3),3,3,3.0,3,3,3.0,3,3,3.0,3,3,3.0,,,,,,,10,54,5.4,10,54,5.4
384,15806,3220400,ENGLISH IV (ENG 4),3,3,3.0,3,3,3.0,6,18,3.0,6,18,3.0,3,3,3.0,3,3,3.0,10,45,4.5,10,45,4.5
385,15806,3340100,US HISTORY STUDIES SINCE 1877,2.3,2.3,2.3,2.3,2.3,2.3,4.5,4.5,4.5,4.5,4.5,4.5,,,,,,,,,,,,
386,15806,3350100,PSYCHOLOGY (PSYCH),3,3,3.0,3,3,3.0,5,15,3.0,5,15,3.0,,,,,,,,,,,,
387,15806,3501700,ART III HISTORY (ART3HIST),3,12,4.0,3,12,4.0,,,,,,,,,,,,,,,,,,
388,15807,3220400,ENGLISH IV (ENG 4),5,15,3.0,5,15,3.0,5,15,3.0,9,27,3.0,3,3,3.0,3,3,3.0,3,3,3.0,3,3,3.0
389,15807,3310300,ECONOMICS W/EMPH FREE ENTERPR,3,3,3.0,3,3,3.0,,,,,,,3,3,3.0,3,3,3.0,,,,,,
390,15807,3330100,UNITED STATES GOVERNMENT (GOVT,3,3,3.0,3,3,3.0,3,3,3.0,3,3,3.0,3,3,3.0,3,3,3.0,5,15,3.0,5,15,3.0
391,15807,3340100,US HISTORY STUDIES SINCE 1877,6,18,3.0,7,21,3.0,,,,,,,3,3,3.0,3,3,3.0,,,,,,
392,15815,3101100,PRECALCULUS (PRE CALC),3,12,4.0,6,18,3.0,,,,,,,,,,,,,,,,,,
393,15815,3220400,ENGLISH IV (ENG 4),5,15,3.0,5,15,3.0,,,,,,,6,6,6.0,5,15,3.0,,,,,,
394,15815,3310300,ECONOMICS W/EMPH FREE ENTERPR,3,3,3.0,3,3,3.0,3,3,3.0,3,3,3.0,,,,,,,,,,,,
395,15815,3330100,UNITED STATES GOVERNMENT (GOVT,3,3,3.0,3,3,3.0,3,3,3.0,3,3,3.0,,,,,,,,,,,,
396,15815,3350100,PSYCHOLOGY (PSYCH),7,21,3.0,6,24,4.0,3,3,3.0,3,3,3.0,,,,,,,,,,,,
397,15815,13009900,PROFESSIONAL COMMUNICATIONS,3,3,3.0,3,3,3.0,,,,,,,,,,,,,,,,,,
398,15816,3220300,ENGLISH III (ENG 3),6,6,6.0,6,6,6.0,,,,,,,,,,,,,,,,,,
399,15816,3350100,PSYCHOLOGY (PSYCH),3,3,3.0,3,3,3.0,,,,,,,,,,,,,,,,,,
400,15816,13039600,AUTOMOTIVE TECHNOLOGY,3,12,4.0,3,12,4.0,,,,,,,,,,,,,,,,,,
401,15819,3220400,ENGLISH IV (ENG 4),6,6,6.0,6,6,6.0,,,,,,,,,,,,,,,,,,
402,15819,N1290050,COLLEGE TRANSITION,3,3,3.0,3,3,3.0,6,6,6.0,6,6,6.0,,,,,,,,,,,,
403,15828,3220300,ENGLISH III (ENG 3),15,60,4.0,26,78,3.0,15,45,3.0,17,51,3.0,11,66,6.0,11,66,6.0,11,33,3.0,17,51,3.0
404,15828,3220400,ENGLISH IV (ENG 4),18,54,3.0,18,54,3.0,22,66,3.0,18,72,4.0,13,39,3.0,13,39,3.0,10,60,6.0,10,60,6.0
405,15828,3440300,LANG O/T ENGLISH III - SPANISH,16,96,6.0,17,102,6.0,12,72,6.0,13,78,6.0,16,93,5.8,16,93,5.8,,,,,,
406,15830,3220300,ENGLISH III (ENG 3),6,18,3.0,10,30,3.0,7,21,3.0,9,27,3.0,,,,,,,,,,,,
407,15830,3330100,UNITED STATES GOVERNMENT (GOVT,3,3,3.0,3,3,3.0,3,12,4.0,3,12,4.0,,,,,,,,,,,,
