REPORT_DISTRICT,REPORT_DISTNAME,REPORT_CHARTER_STATUS,BLANK_COLUMN,DISTRICT,SERVICE,SERVICEX,CTE_STUDENTS,CTE_HOURS,CTE_AVG,ALL_STUDENTS,ALL_HOURS,ALL_AVG
001902,CAYUGA ISD,TRADITIONAL ISD/CSD,,001902,03101100,PRECALCULUS (PRE CALC),-999,45,-999.0,-999,45,-999.0
,,,,001902,03102500,INDEP STUDY IN MATH (1ST TIME),-999,-999,6.0,-999,-999,6.0
,,,,001902,03220300,ENGLISH III (ENG 3),15,90,6.0,17,102,6.0
,,,,001902,03220400,ENGLISH IV (ENG 4),15,81,5.4,15,81,5.4
,,,,001902,03310300,ECONOMICS W/EMPH FREE ENTERPR,-999,18,-999.0,-999,18,-999.0
,,,,001902,03330100,UNITED STATES GOVERNMENT (GOVT,-999,18,-999.0,-999,18,-999.0
,,,,001902,03340100,US HISTORY STUDIES SINCE 1877,19,111,5.8,21,123,5.9
,,,,001902,13009900,PROFESSIONAL COMMUNICATIONS,-999,-999,3.0,-999,-999,3.0
Total,,,,001902,,,73,378,5.2,77,402,5.2
,,,,001902,,,,,,,,
001903,ELKHART ISD,TRADITIONAL ISD/CSD,,001903,03100600,ALGEBRA II (ALG2),-999,24,-999.0,-999,24,-999.0
,,,,001903,03102530,STATISTICS,-999,24,-999.0,-999,24,-999.0
,,,,001903,03220300,ENGLISH III (ENG 3),13,69,5.3,14,75,5.4
,,,,001903,03220400,ENGLISH IV (ENG 4),13,78,6.0,13,78,6.0
,,,,001903,03250100,"THEATRE I, THEATRE ARTS I",-999,-999,3.0,-999,-999,3.0
,,,,001903,03310300,ECONOMICS W/EMPH FREE ENTERPR,15,45,3.0,15,45,3.0
,,,,001903,03330100,UNITED STATES GOVERNMENT (GOVT,12,36,3.0,12,36,3.0
,,,,001903,03340100,US HISTORY STUDIES SINCE 1877,12,63,5.3,13,69,5.3
,,,,001903,03350100,PSYCHOLOGY (PSYCH),13,39,3.0,13,39,3.0
,,,,001903,03370100,SOCIOLOGY (SOC),11,33,3.0,11,33,3.0
,,,,001903,03380021,SOCIAL STD ADV STDYS (2ND TME),-999,-999,3.0,-999,-999,3.0
,,,,001903,03440300,LANG O/T ENGLISH III - SPANISH,-999,40,-999.0,-999,40,-999.0
,,,,001903,13009900,PROFESSIONAL COMMUNICATIONS,-999,-999,3.0,-999,-999,3.0
,,,,001903,13014300,HUMAN GROWTH & DEVELOP,-999,-999,3.0,-999,-999,3.0
,,,,001903,13016600,ACCOUNTING I,-999,-999,3.0,-999,-999,3.0
,,,,001903,13018000,FINANCIAL MATHEMATICS,-999,-999,3.0,-999,-999,3.0
,,,,001903,13025300,COSMETOLOGY II,-999,24,-999.0,-999,24,-999.0
Total,,,,001903,,,120,496,4.1,122,508,4.2
,,,,001903,,,,,,,,
001904,FRANKSTON ISD,TRADITIONAL ISD/CSD,,001904,03102510,ADVANCED QUANT REASONING,-999,42,-999.0,-999,48,-999.0
,,,,001904,03220300,ENGLISH III (ENG 3),24,111,4.6,25,117,4.7
,,,,001904,03220400,ENGLISH IV (ENG 4),19,72,3.8,19,72,3.8
,,,,001904,03241400,COMMUNICATION APPLICATIONS,-999,-999,3.0,-999,-999,3.0
,,,,001904,03310300,ECONOMICS W/EMPH FREE ENTERPR,-999,15,-999.0,-999,15,-999.0
,,,,001904,03330100,UNITED STATES GOVERNMENT (GOVT,10,36,3.6,12,42,3.5
,,,,001904,03340100,US HISTORY STUDIES SINCE 1877,-999,12,-999.0,-999,12,-999.0
,,,,001904,03380002,SPEC TOPIC IN SOC STUD (1ST),-999,-999,3.0,-999,-999,3.0
,,,,001904,03380021,SOCIAL STD ADV STDYS (2ND TME),-999,15,-999.0,-999,15,-999.0
,,,,001904,13014300,HUMAN GROWTH & DEVELOP,11,33,3.0,11,33,3.0
,,,,001904,13029550,CRIMINAL INVESTIGATION,-999,-999,3.0,-999,-999,3.0
,,,,001904,13037200,SCIENTIFIC RESEARCH & DESIGN,13,85,6.5,14,95,6.8
,,,,001904,A3100102,AP CALCULUS BC,-999,12,-999.0,-999,12,-999.0
Total,,,,001904,,,105,448,4.3,110,476,4.3
,,,,001904,,,,,,,,
001906,NECHES ISD,TRADITIONAL ISD/CSD,,001906,03100600,ALGEBRA II (ALG2),-999,-999,6.0,-999,12,-999.0
,,,,001906,03101100,PRECALCULUS (PRE CALC),-999,-999,6.0,-999,-999,6.0
,,,,001906,03220300,ENGLISH III (ENG 3),11,57,5.2,11,57,5.2
,,,,001906,03220400,ENGLISH IV (ENG 4),-999,45,-999.0,-999,45,-999.0
,,,,001906,03241400,COMMUNICATION APPLICATIONS,-999,-999,3.0,-999,-999,3.0
,,,,001906,03310300,ECONOMICS W/EMPH FREE ENTERPR,-999,12,-999.0,-999,15,-999.0
,,,,001906,03330100,UNITED STATES GOVERNMENT (GOVT,-999,21,-999.0,-999,21,-999.0
,,,,001906,03340100,US HISTORY STUDIES SINCE 1877,-999,33,-999.0,10,36,3.6
,,,,001906,03350100,PSYCHOLOGY (PSYCH),-999,18,-999.0,-999,18,-999.0
,,,,001906,03370100,SOCIOLOGY (SOC),-999,-999,3.0,-999,-999,3.0
,,,,001906,03380001,SOCIAL STD ADV STDYS (1ST TME),-999,-999,3.0,-999,-999,3.0
,,,,001906,03500100,ART I (ART 1),11,33,3.0,12,36,3.0
,,,,001906,03500600,"ART II, PAINTING I",-999,-999,3.0,-999,-999,3.0
,,,,001906,13011400,BUSIN INFO MGT I,-999,-999,3.0,-999,-999,3.0
Total,,,,001906,,,68,267,3.9,73,285,3.9
,,,,001906,,,,,,,,
001907,PALESTINE ISD,TRADITIONAL ISD/CSD,,001907,03102500,INDEP STUDY IN MATH (1ST TIME),17,115,6.8,17,115,6.8
,,,,001907,03102510,ADVANCED QUANT REASONING,40,228,5.7,42,240,5.7
,,,,001907,03155400,MUSIC STUDIES - MUSIC THEORY I,57,171,3.0,68,204,3.0
,,,,001907,03220300,ENGLISH III (ENG 3),22,132,6.0,22,132,6.0
,,,,001907,03220400,ENGLISH IV (ENG 4),10,57,5.7,10,57,5.7
,,,,001907,03310300,ECONOMICS W/EMPH FREE ENTERPR,45,135,3.0,56,168,3.0
,,,,001907,03330100,UNITED STATES GOVERNMENT (GOVT,10,30,3.0,10,30,3.0
,,,,001907,03340100,US HISTORY STUDIES SINCE 1877,60,351,5.9,60,351,5.9
,,,,001907,03350100,PSYCHOLOGY (PSYCH),-999,12,-999.0,-999,12,-999.0
,,,,001907,03440300,LANG O/T ENGLISH III - SPANISH,45,348,7.7,45,348,7.7
,,,,001907,03500100,ART I (ART 1),-999,-999,3.0,-999,-999,3.0
